ComCode,Description,ShortDesc,CatGroupID,CatGroup,CatGroupOrder
18784,USDA Imported Meat - Fresh Pork - AMR - Chile,USDA Imported Meat - Fresh Pork - AMR - CHL,642,USDA Imported Meat - Fresh Pork,65
18785,USDA Imported Meat - Fresh Pork - Boneless Trimmings - Chile,USDA Imported Meat - Fresh Pork - Boneless Trimmings - CHL,642,USDA Imported Meat - Fresh Pork,70
18786,USDA Imported Meat - Fresh Pork - Cuts - Chile,USDA Imported Meat - Fresh Pork - Cuts - CHL,642,USDA Imported Meat - Fresh Pork,75
18787,USDA Imported Meat - Fresh Pork - Edible Offal - Chile,USDA Imported Meat - Fresh Pork - Edible Offal - CHL,642,USDA Imported Meat - Fresh Pork,80
18788,USDA Imported Meat - Fresh Pork - Other Intact - Chile,USDA Imported Meat - Fresh Pork - Other Intact - CHL,642,USDA Imported Meat - Fresh Pork,85
18789,USDA Imported Meat - Fresh Pork - Primals & Subprimals - Chile,USDA Imported Meat - Fresh Pork - Primals & Subprimals - CHL,642,USDA Imported Meat - Fresh Pork,90
18790,USDA Imported Meat - Fresh Pork - AMR - Denmark,USDA Imported Meat - Fresh Pork - AMR - DK,642,USDA Imported Meat - Fresh Pork,95
18791,USDA Imported Meat - Fresh Pork - Boneless Trimmings - Denmark,USDA Imported Meat - Fresh Pork - Boneless Trimmings - DK,642,USDA Imported Meat - Fresh Pork,100
18792,USDA Imported Meat - Fresh Pork - Cuts - Denmark,USDA Imported Meat - Fresh Pork - Cuts - DK,642,USDA Imported Meat - Fresh Pork,105
18793,USDA Imported Meat - Fresh Pork - Edible Offal - Denmark,USDA Imported Meat - Fresh Pork - Edible Offal - DK,642,USDA Imported Meat - Fresh Pork,110
18794,USDA Imported Meat - Fresh Pork - Other Intact - Denmark,USDA Imported Meat - Fresh Pork - Other Intact - DK,642,USDA Imported Meat - Fresh Pork,115
18795,USDA Imported Meat - Fresh Pork - Primals & Subprimals - Denmark,USDA Imported Meat - Fresh Pork - Primals & Subprimals - DK,642,USDA Imported Meat - Fresh Pork,120
